sequence_id	mlg_farthest	popmap	type
P3S21ID237	175	pop175	Domesticated
P1EN004	176	pop10	Domesticated
P3S23ID840	177	pop177	Domesticated
P3S24ID834	178	pop178	Domesticated
P3S26ID695	181	pop180	Domesticated
P2S15ID621	182	pop92	Domesticated
P3S29ID15	183	pop183	Wild
P3S2ID439	184	pop184	Domesticated
P1EN034	187	pop40	Domesticated
P3S33ID479	188	pop188	Domesticated
P3S34ID867	189	pop189	Domesticated
P3S35ID829	190	pop190	Domesticated
P3S36ID480	191	pop191	Domesticated
P3S37ID267	192	pop192	Domesticated
P3S38ID487	193	pop193	Domesticated
P3S40ID185	196	pop196	Domesticated
P3S44ID850	200	pop200	Domesticated
EXS13ID000895	203	pop3	Domesticated
P2S41ID654	207	pop118	Domesticated
P3S52ID824	209	pop209	Domesticated
P3S55ID841	212	pop212	Domesticated
P3S56ID466	213	pop213	Domesticated
P1EN052	214	pop58	Domesticated
P3S59ID911	216	pop216	Domesticated
P3S60ID912	218	pop218	Semi-domesticated
P3S61ID553	219	pop219	Semi-domesticated
P3S62ID554	220	pop220	Semi-domesticated
P3S63ID490	221	pop221	Domesticated
P3S64ID681	222	pop222	Domesticated
P3S65ID831	223	pop223	Domesticated
P2S16ID103	224	pop93	Domesticated
P3S68ID877	225	pop225	Domesticated
P3S69ID849	226	pop226	Domesticated
P3S70ID337	228	pop228	Domesticated
P3S71ID111	229	pop229	Domesticated
P3S72ID823	230	pop230	Domesticated
P3S54ID698	232	pop211	Domesticated
P3S75ID842	233	pop233	Domesticated
P3S76ID826	234	pop234	Domesticated
P3S77ID524	235	pop235	Domesticated
EXS1ID000384	236	pop6	Domesticated
P3S79ID602	237	pop237	Domesticated
P1EN027	241	pop33	Domesticated
P1EN033	242	pop39	Domesticated
P3S85ID909	244	pop244	Wild
P3S86ID910	245	pop245	Wild
P3S87ID010	246	pop246	Wild
P3S88ID883	247	pop247	Wild
P3S89ID887	248	pop248	Wild
P3S8ID437	249	pop249	Domesticated
P1EN039	250	pop45	Domesticated
P1EN022	251	pop28	Domesticated
P1EN055	252	pop61	Domesticated
P1EN066	253	pop72	Domesticated
P1EN049	254	pop55	Domesticated
P3S18ID244	255	pop172	Domesticated
P1EN005	256	pop11	Domesticated
P1EN030	257	pop36	Domesticated
P2S68ID396	258	pop147	Domesticated
P2S70ID548	259	pop150	Domesticated
P3S4ID441	260	pop206	Domesticated
P3S7ID469	261	pop238	Domesticated
P2S17ID580	262	pop94	Domesticated
P3S20ID338	263	pop174	Domesticated
P3S81ID277	264	pop240	Domesticated
