SEQUENCE_ID,SAMPLE_ID,POPULATION,TYPE,sample_id,Landrace_2,_latitude,_longitude,Unique_code,Sample_date
P1EN030.digested.trimmed.fq.gz,P1EN030,1,Domestic,357,Gimbowa,7.98684685,37.87609099,c21ef4ff-d60f-4ce1-819d-50cde529c8b3,05/02/2018
P1EN031.digested.trimmed.fq.gz,P1EN031,1,Domestic,364,Guadamerat,7.987466482,37.87565111,960da4b5-9188-4cd5-9220-1e7197447964,05/02/2018
P1EN032.digested.trimmed.fq.gz,P1EN032,1,Domestic,329,Guadbadadet,8.076002597,37.74723733,ea0fd11e-67f9-4427-bd27-55c63e834635,08/02/2018
P1EN033.digested.trimmed.fq.gz,P1EN033,1,Domestic,259,Guariye,8.142538732,37.9210796,32b89a69-dc85-4500-b63e-1c91325d26de,03/02/2018
P1EN034.digested.trimmed.fq.gz,P1EN034,1,Domestic,118,Horate,8.362860912,37.81615938,a5bce1c6-b257-4e3a-ab25-b5cf3f70d66a,02/02/2018
P1EN035.digested.trimmed.fq.gz,P1EN035,1,Domestic,152,Inniba,8.594414005,38.12798713,7678f3a6-488a-4c65-884d-2bb4bc35e940,26/01/2018
P1EN036.digested.trimmed.fq.gz,P1EN036,1,Domestic,265,Jobra,8.142262967,37.9116943,2e961eb6-adca-430f-9c65-edfcae82c9db,03/02/2018
P1EN037.digested.trimmed.fq.gz,P1EN037,1,Domestic,122,Kekeso,8.472651397,37.9550647,c9fe3c59-f7da-4554-bbff-100775e0321f,31/01/2018
P1EN038.digested.trimmed.fq.gz,P1EN038,1,Domestic,326,Lemad,8.07262578,37.7511604,21f37a87-81e1-42c5-8ddd-41036aed11cf,08/02/2018
P1EN039.digested.trimmed.fq.gz,P1EN039,1,Domestic,234,Lemat,8.361686482,37.81746478,a9c078a3-43fa-4cf2-968d-609144e249b8,02/02/2018
P1EN040.digested.trimmed.fq.gz,P1EN040,1,Domestic,178,Lemat,8.38387535,37.86047299,006d4d63-050b-44c2-9789-b7304135847e,02/02/2018
P1EN041.digested.trimmed.fq.gz,P1EN041,1,Domestic,32,Lemat,8.58637773,37.94012312,88bf7688-387b-40d4-81f9-8ed498d9be1b,30/01/2018
P1EN042.digested.trimmed.fq.gz,P1EN042,1,Domestic,293,Moyete,7.96762635,37.87874781,29b0bc33-9d78-4f64-bc1a-f189a2073e1d,05/02/2018
P1EN043.digested.trimmed.fq.gz,P1EN043,1,Domestic,36,Nechisedi,8.622934814,37.90426064,b595dd37-9600-4d54-a3f8-0006c38c287f,30/01/2018
P1EN044.digested.trimmed.fq.gz,P1EN044,1,Domestic,303,Nechwe,8.200857039,37.80185499,1b57180c-a29a-4214-9dba-a130f1e19aea,04/02/2018
P1EN045.digested.trimmed.fq.gz,P1EN045,1,Domestic,138,Nechwe,8.196011041,37.80935906,f30fb02f-1b7e-4780-9fab-52a348a4c409,04/02/2018
P1EN046.digested.trimmed.fq.gz,P1EN046,1,Domestic,288,Nechwe,7.967780074,37.87902223,29b0bc33-9d78-4f64-bc1a-f189a2073e1d,05/02/2018
P1EN047.digested.trimmed.fq.gz,P1EN047,1,Domestic,299,Orate,7.964639752,37.88192228,181533dc-5314-48d7-aaea-3ddb487a18fb,05/02/2018
P1EN048.digested.trimmed.fq.gz,P1EN048,1,Domestic,93,Qeso,8.47198776,38.05573295,19d57a61-cd05-42d4-a15e-664fa84fe343,25/01/2018
P1EN049.digested.trimmed.fq.gz,P1EN049,1,Domestic,200,Qore,8.590179551,38.12754264,a8d6f1ab-b162-4d86-b0c4-cfb7086fae86,26/01/2018
P1EN050.digested.trimmed.fq.gz,P1EN050,1,Domestic,287,Quashquashye,7.987469709,37.87582914,960da4b5-9188-4cd5-9220-1e7197447964,05/02/2018
P1EN051.digested.trimmed.fq.gz,P1EN051,1,Domestic,84,Quiminar,8.506377661,38.0003569,0749c4bb-5692-49d2-b97a-4282ee581d33,25/01/2018
P1EN052.digested.trimmed.fq.gz,P1EN052,1,Domestic,28,Sebara,8.732460178,37.86117523,f3b24e6b-3602-4c2f-91e4-b4624569e8ef,29/01/2018
P1EN053.digested.trimmed.fq.gz,P1EN053,1,Domestic,285,Separa,7.987493975,37.87568305,960da4b5-9188-4cd5-9220-1e7197447964,05/02/2018
P1EN054.digested.trimmed.fq.gz,P1EN054,1,Domestic,308,Shertiye,7.960663545,37.88271965,c0a5b484-0f4d-40f2-9bfc-f7bc7e525d13,05/02/2018
P1EN055.digested.trimmed.fq.gz,P1EN055,1,Domestic,90,Shifere,8.460542816,38.0505681,7428a551-1bbc-4e6d-982d-5df97bf48551,25/01/2018
P1EN056.digested.trimmed.fq.gz,P1EN056,1,Domestic,39,Tatarata,8.622976975,37.90419912,b595dd37-9600-4d54-a3f8-0006c38c287f,30/01/2018
P1EN057.digested.trimmed.fq.gz,P1EN057,1,Domestic,168,Teganen,8.58355504,37.9397912,b66ad90c-3338-4b67-9229-f949964d8403,30/01/2018
P1EN058.digested.trimmed.fq.gz,P1EN058,1,Domestic,311,Tereriye,7.960512084,37.88264757,c0a5b484-0f4d-40f2-9bfc-f7bc7e525d13,05/02/2018
P1EN059.digested.trimmed.fq.gz,P1EN059,1,Domestic,159,Umbati,8.539869902,38.09192215,7b797e81-b2c4-49ea-ae5c-0e208fef31ae,26/01/2018
P1EN060.digested.trimmed.fq.gz,P1EN060,1,Domestic,139,Usmail,8.196011041,37.80935906,f30fb02f-1b7e-4780-9fab-52a348a4c409,04/02/2018
P1EN061.digested.trimmed.fq.gz,P1EN061,1,Domestic,172,Waka,8.362763305,37.81620858,a5bce1c6-b257-4e3a-ab25-b5cf3f70d66a,02/02/2018
P1EN062.digested.trimmed.fq.gz,P1EN062,1,Domestic,312,Wanadiye,7.964798003,37.88184199,181533dc-5314-48d7-aaea-3ddb487a18fb,05/02/2018
P1EN063.digested.trimmed.fq.gz,P1EN063,1,Domestic,42,Worke dima,8.620351134,37.90511057,1586c77d-bf42-4855-8b74-6116b071056c,30/01/2018
P1EN064.digested.trimmed.fq.gz,P1EN064,1,Domestic,284,Yegondiye,7.987493975,37.87568305,960da4b5-9188-4cd5-9220-1e7197447964,05/02/2018
P1EN065.digested.trimmed.fq.gz,P1EN065,1,Domestic,254,Yesherakinke,8.148023933,37.92101406,617ce2a8-189e-4d6f-9806-2f9470c81475,03/02/2018
P1EN066.digested.trimmed.fq.gz,P1EN066,1,Domestic,316,Zoober,7.988847233,37.87186266,ba5f9c1a-725d-444a-b7a2-24801f743a83,07/02/2018
P1EN067.digested.trimmed.fq.gz,P1EN067,1,Domestic,409,Badadet,8.648327999,37.90239885,6ebb4fee-19b3-4983-a3a1-011d38004a27,30/01/2018
P1EN068.digested.trimmed.fq.gz,P1EN068,1,Domestic,408,Ferezye,8.741153972,37.98964525,dd880176-f156-4b2f-b015-dd7510df75a4,24/01/2018
P1EN069.digested.trimmed.fq.gz,P1EN069,1,Domestic,417,Nechwe,8.36232468,37.81501751,a15a9df3-ffb8-4367-bae0-10b73e701a7f,02/02/2018
P1EN070.digested.trimmed.fq.gz,P1EN070,4,Wild,5,Pop1,8.35342,35.79897,cdc4d38c-0618-4755-ac0b-6dc3a92b6fb0,NA
P1EN071.digested.trimmed.fq.gz,P1EN071,4,Wild,201,Pop2,8.055449,35.52457,71e8fc6e-1590-4f23-9eed-1bf5fc258f4b,NA
P1EN072.digested.trimmed.fq.gz,P1EN072,4,Wild,202,Pop2,8.055449,35.52457,71e8fc6e-1590-4f23-9eed-1bf5fc258f4b,NA
P1EN073.digested.trimmed.fq.gz,P1EN073,4,Wild,203,Pop2,8.055449,35.52457,71e8fc6e-1590-4f23-9eed-1bf5fc258f4b,NA
P1EN074.digested.trimmed.fq.gz,P1EN074,4,Wild,210,Pop3,7.577567,35.47841,5a7a78c1-3164-49ca-9dcc-8b72c186533e,NA
P1EN075.digested.trimmed.fq.gz,P1EN075,4,Wild,211,Pop3,7.577567,35.47841,5a7a78c1-3164-49ca-9dcc-8b72c186533e,NA
P1EN076.digested.trimmed.fq.gz,P1EN076,4,Wild,212,Pop3,7.577567,35.47841,5a7a78c1-3164-49ca-9dcc-8b72c186533e,NA
P1EN077.digested.trimmed.fq.gz,P1EN077,4,Wild,12,Pop4,6.536185,35.48835,b63372bc-9dfa-4c2d-aedb-99754fd6592d,NA
P1EN078.digested.trimmed.fq.gz,P1EN078,5,NA,NA,NA,NA,NA,NA,NA
P1EN079.digested.trimmed.fq.gz,P1EN079,3,Outgroup,E001,Eventricosum ,NA,NA,,NA
P1EN080.digested.trimmed.fq.gz,P1EN080,3,Outgroup,E002,Eventricosum,NA,NA,,NA
P1EN081.digested.trimmed.fq.gz,P1EN081,3,Outgroup,E006,Eventricosum ,NA,NA,,NA
P1EN082.digested.trimmed.fq.gz,P1EN082,3,Outgroup,EnMu,Eventricosum_Maurelii,NA,NA,,NA
P1EN083.digested.trimmed.fq.gz,P1EN083,3,Outgroup,Kew Sample,Elivingstonianum,NA,NA,,NA
P1EN095.digested.trimmed.fq.gz,P1EN095,1,Domestic,260,Yekeswa,8.142443011,37.92092789,32b89a69-dc85-4500-b63e-1c91325d26de,03/02/2018
